time, x, y, heading, vel_x, vel_y, vel_heading,
0.432, -5.67589e-10, -4.41083e-08, 1.22376e-05, -2.44481e-12, 2.71232e-11, -8.98074e-10, 
0.44, -5.67593e-10, -4.41081e-08, 1.22376e-05, -3.98214e-13, 2.21749e-11, -7.2362e-10, 
0.448, -5.67606e-10, -4.41079e-08, 1.22376e-05, -1.73577e-12, 1.8097e-11, -5.76696e-10, 
0.456, -5.67607e-10, -4.41078e-08, 1.22376e-05, -8.18166e-14, 1.47783e-11, -4.64716e-10, 
0.464, -5.67617e-10, -4.41077e-08, 1.22376e-05, -1.26059e-12, 1.20415e-11, -3.69193e-10, 
0.472, -5.67616e-10, -4.41076e-08, 1.22376e-05, 9.96924e-14, 9.82303e-12, -2.97759e-10, 
0.48, -5.67624e-10, -4.41076e-08, 1.22376e-05, -9.37401e-13, 7.99055e-12, -2.35672e-10, 
0.488, -5.67622e-10, -4.41075e-08, 1.22376e-05, 1.96173e-13, 6.5137e-12, -1.9042e-10, 
0.496, -5.67628e-10, -4.41075e-08, 1.22376e-05, -7.14205e-13, 5.28967e-12, -1.50019e-10, 
0.504, -5.67626e-10, -4.41074e-08, 1.22376e-05, 2.40395e-13, 4.31097e-12, -1.21595e-10, 
0.512, -5.67631e-10, -4.41074e-08, 1.22376e-05, -5.56277e-13, 3.49408e-12, -9.5231e-11, 
0.52, -5.67629e-10, -4.41074e-08, 1.22376e-05, 2.55181e-13, 2.84859e-12, -7.75708e-11, 
0.528, -5.67632e-10, -4.41074e-08, 1.22376e-05, -4.42869e-13, 2.30276e-12, -6.0274e-11, 
0.536, -5.6763e-10, -4.41074e-08, 1.22376e-05, 2.49963e-13, 1.87919e-12, -4.94624e-11, 
0.544, -5.67633e-10, -4.41073e-08, 1.22376e-05, -3.58451e-13, 1.51505e-12, -3.80265e-11, 
0.552, -5.67631e-10, -4.41073e-08, 1.22376e-05, 2.374e-13, 1.23758e-12, -3.15507e-11, 
0.56, -5.67633e-10, -4.41073e-08, 1.22376e-05, -2.94889e-13, 9.94243e-13, -2.38974e-11, 
0.568, -5.67632e-10, -4.41073e-08, 1.22376e-05, 2.18724e-13, 8.14909e-13, -2.01473e-11, 
0.576, -5.67634e-10, -4.41073e-08, 1.22376e-05, -2.46019e-13, 6.50525e-13, -1.49458e-11, 
0.584, -5.67632e-10, -4.41073e-08, 1.22376e-05, 1.98748e-13, 5.3744e-13, -1.28969e-11, 
0.592, -5.67634e-10, -4.41073e-08, 1.22376e-05, -2.07299e-13, 4.24454e-13, -9.28753e-12, 
0.6, -5.67632e-10, -4.41073e-08, 1.22376e-05, 1.78202e-13, 3.53708e-13, -8.28932e-12, 
0.608, -5.67634e-10, -4.41073e-08, 1.22376e-05, -1.75817e-13, 2.76949e-13, -5.72247e-12, 
0.616, -5.67632e-10, -4.41073e-08, 1.22376e-05, 1.59012e-13, 2.33431e-13, -5.36191e-12, 
0.624, -5.67634e-10, -4.41073e-08, 1.22376e-05, -1.50121e-13, 1.78041e-13, -3.47986e-12, 
0.632, -5.67632e-10, -4.41073e-08, 1.22376e-05, 1.41299e-13, 1.546e-13, -3.49986e-12, 
0.64, -5.67633e-10, -4.41073e-08, 1.22376e-05, -1.28139e-13, 1.1482e-13, -2.07473e-12, 
0.648, -5.67632e-10, -4.41073e-08, 1.22376e-05, 1.25022e-13, 1.03345e-13, -2.31445e-12, 
0.656, -5.67633e-10, -4.41073e-08, 1.22376e-05, -1.09166e-13, 7.29369e-14, -1.19881e-12, 
0.664, -5.67632e-10, -4.41073e-08, 1.22376e-05, 1.1029e-13, 6.86552e-14, -1.55797e-12, 
0.672, -5.67633e-10, -4.41073e-08, 1.22376e-05, -9.47728e-14, 4.63774e-14, -6.54377e-13, 
0.68, -5.67632e-10, -4.41073e-08, 1.22376e-05, 9.75511e-14, 4.70717e-14, -1.07576e-12, 
0.688, -5.67633e-10, -4.41073e-08, 1.22376e-05, -8.10848e-14, 2.85543e-14, -3.1986e-13, 
0.696, -5.67632e-10, -4.41073e-08, 1.22376e-05, 8.58824e-14, 3.30104e-14, -7.63945e-13, 
